Molecule|Datafile|Disp2 (CCD)|Disp20|Disp21|Disp22 (S) (CCD)|Disp22 (SDQ)|Disp22 (T)|Disp22 (T) (CCD)|Dispersion|Electrostatics|Elst10,r|Elst12,r|Est. Disp22 (T)|Exch-Disp20|Exch-Ind20,r|Exch-Ind22|Exch10|Exch10(S^2)|Exch11(S^2)|Exch12(S^2)|Exchange|Ind20,r|Induction|InteractionEnergy|delta HF,r (2)|delta MP2,r (2)
water#fluoride|0760|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.938281|3.226|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.74704|N/A|-3.731|-0.69573|N/A|N/A
water#fluoride|0761|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.768351|2.935|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.539244|N/A|-3.330|-0.623557|N/A|N/A
water#fluoride|0762|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.632127|2.659|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.390213|N/A|-2.979|-0.561876|N/A|N/A
water#fluoride|0763|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.521144|2.402|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.283026|N/A|-2.673|-0.508724|N/A|N/A
water#fluoride|0764|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.432794|2.164|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.205703|N/A|-2.403|-0.466051|N/A|N/A
water#fluoride|0765|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.361028|1.946|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.149786|N/A|-2.166|-0.431286|N/A|N/A
water#fluoride|0766|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.302472|1.747|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.109253|N/A|-1.957|-0.403395|N/A|N/A
water#fluoride|0767|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.254486|1.566|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.0798097|N/A|-1.772|-0.381208|N/A|N/A
water#fluoride|0768|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.209121|1.375|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.0554255|N/A|-1.583|-0.361424|N/A|N/A
water#fluoride|0769|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.177504|1.228|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.0406075|N/A|-1.440|-0.348725|N/A|N/A
